country,date
Colombia,1953-06-21T05:00:00+0000
Germany,1953-06-21T05:00:00+0000
France,1953-06-21T05:00:00+0000
Egypt,1953-06-21T05:00:00+0000
Italy,1953-06-21T05:00:00+0000
Iran,1953-06-21T05:00:00+0000
Nepal,1953-06-21T05:00:00+0000
Pakistan,1953-06-21T05:00:00+0000
Puerto Rico,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
France,1953-06-22T05:00:00+0000
France,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Netherlands,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Hungary,1953-06-22T05:00:00+0000
Hungary,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Egypt,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
China,1953-06-22T05:00:00+0000
Mexico,1953-06-22T05:00:00+0000
Costa Rica,1953-06-22T05:00:00+0000
Panama,1953-06-22T05:00:00+0000
Italy,1953-06-22T05:00:00+0000
Guatemala,1953-06-22T05:00:00+0000
Italy,1953-06-22T05:00:00+0000
Canada,1953-06-22T05:00:00+0000
Canada,1953-06-22T05:00:00+0000
India,1953-06-22T05:00:00+0000
Syria,1953-06-22T05:00:00+0000
Syria,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Austria,1953-06-22T05:00:00+0000
Austria,1953-06-22T05:00:00+0000
Germany,1953-06-22T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Costa Rica,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Hungary,1953-06-23T05:00:00+0000
Hungary,1953-06-23T05:00:00+0000
Hungary,1953-06-23T05:00:00+0000
Netherlands,1953-06-23T05:00:00+0000
Norway,1953-06-23T05:00:00+0000
Chile,1953-06-23T05:00:00+0000
Netherlands,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Japan,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Canada,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
India,1953-06-23T05:00:00+0000
Israel,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Austria,1953-06-23T05:00:00+0000
India,1953-06-23T05:00:00+0000
Spain,1953-06-23T05:00:00+0000
Spain,1953-06-23T05:00:00+0000
Spain,1953-06-23T05:00:00+0000
Brazil,1953-06-23T05:00:00+0000
Brazil,1953-06-23T05:00:00+0000
India,1953-06-23T05:00:00+0000
Bolivia,1953-06-23T05:00:00+0000
Bolivia,1953-06-23T05:00:00+0000
Brazil,1953-06-23T05:00:00+0000
Germany,1953-06-23T05:00:00+0000
Greece,1953-06-23T05:00:00+0000
France,1953-06-23T05:00:00+0000
France,1953-06-23T05:00:00+0000
France,1953-06-23T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Greece,1953-06-24T05:00:00+0000
Japan,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
France,1953-06-24T05:00:00+0000
France,1953-06-24T05:00:00+0000
Canada,1953-06-24T05:00:00+0000
Iran,1953-06-24T05:00:00+0000
India,1953-06-24T05:00:00+0000
Egypt,1953-06-24T05:00:00+0000
Egypt,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Japan,1953-06-24T05:00:00+0000
Japan,1953-06-24T05:00:00+0000
France,1953-06-24T05:00:00+0000
India,1953-06-24T05:00:00+0000
Bulgaria,1953-06-24T05:00:00+0000
Bulgaria,1953-06-24T05:00:00+0000
Colombia,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Poland,1953-06-24T05:00:00+0000
India,1953-06-24T05:00:00+0000
India,1953-06-24T05:00:00+0000
China,1953-06-24T05:00:00+0000
Germany,1953-06-24T05:00:00+0000
Hungary,1953-06-24T05:00:00+0000
Ireland,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Hungary,1953-06-25T05:00:00+0000
Japan,1953-06-25T05:00:00+0000
France,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Libya,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Poland,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Mexico,1953-06-25T05:00:00+0000
Greece,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Belgium,1953-06-25T05:00:00+0000
Egypt,1953-06-25T05:00:00+0000
France,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
India,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Brazil,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Egypt,1953-06-25T05:00:00+0000
China,1953-06-25T05:00:00+0000
Hungary,1953-06-25T05:00:00+0000
Hungary,1953-06-25T05:00:00+0000
Puerto Rico,1953-06-25T05:00:00+0000
Colombia,1953-06-25T05:00:00+0000
Colombia,1953-06-25T05:00:00+0000
Italy,1953-06-25T05:00:00+0000
Brazil,1953-06-25T05:00:00+0000
France,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Japan,1953-06-25T05:00:00+0000
Germany,1953-06-25T05:00:00+0000
Syria,1953-06-26T05:00:00+0000
Greece,1953-06-26T05:00:00+0000
Greece,1953-06-26T05:00:00+0000
China,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Japan,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Brazil,1953-06-26T05:00:00+0000
Brazil,1953-06-26T05:00:00+0000
Brazil,1953-06-26T05:00:00+0000
India,1953-06-26T05:00:00+0000
Morocco,1953-06-26T05:00:00+0000
Egypt,1953-06-26T05:00:00+0000
Venezuela,1953-06-26T05:00:00+0000
Italy,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Sweden,1953-06-26T05:00:00+0000
Sweden,1953-06-26T05:00:00+0000
Puerto Rico,1953-06-26T05:00:00+0000
Italy,1953-06-26T05:00:00+0000
Bolivia,1953-06-26T05:00:00+0000
India,1953-06-26T05:00:00+0000
India,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
France,1953-06-26T05:00:00+0000
China,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Guatemala,1953-06-26T05:00:00+0000
Japan,1953-06-26T05:00:00+0000
Austria,1953-06-26T05:00:00+0000
China,1953-06-26T05:00:00+0000
Pakistan,1953-06-26T05:00:00+0000
India,1953-06-26T05:00:00+0000
Belgium,1953-06-26T05:00:00+0000
Netherlands,1953-06-26T05:00:00+0000
Canada,1953-06-26T05:00:00+0000
Brazil,1953-06-26T05:00:00+0000
Poland,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Germany,1953-06-26T05:00:00+0000
Austria,1953-06-26T05:00:00+0000
Japan,1953-06-27T05:00:00+0000
Colombia,1953-06-27T05:00:00+0000
Israel,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Colombia,1953-06-27T05:00:00+0000
France,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Poland,1953-06-27T05:00:00+0000
Costa Rica,1953-06-27T05:00:00+0000
Nicaragua,1953-06-27T05:00:00+0000
Japan,1953-06-27T05:00:00+0000
Austria,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Canada,1953-06-27T05:00:00+0000
Brazil,1953-06-27T05:00:00+0000
Turkey,1953-06-27T05:00:00+0000
Turkey,1953-06-27T05:00:00+0000
Turkey,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Spain,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Spain,1953-06-27T05:00:00+0000
France,1953-06-27T05:00:00+0000
Japan,1953-06-27T05:00:00+0000
Germany,1953-06-27T05:00:00+0000
Greece,1953-06-27T05:00:00+0000
Guatemala,1953-06-27T05:00:00+0000
Guatemala,1953-06-27T05:00:00+0000
Japan,1953-06-27T05:00:00+0000
Japan,1953-06-27T05:00:00+0000
France,1953-06-28T05:00:00+0000
Bolivia,1953-06-28T05:00:00+0000
Turkey,1953-06-28T05:00:00+0000
Turkey,1953-06-28T05:00:00+0000
Switzerland,1953-06-28T05:00:00+0000
Japan,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Bolivia,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
India,1953-06-28T05:00:00+0000
Colombia,1953-06-28T05:00:00+0000
Colombia,1953-06-28T05:00:00+0000
France,1953-06-28T05:00:00+0000
Austria,1953-06-28T05:00:00+0000
Poland,1953-06-28T05:00:00+0000
France,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Colombia,1953-06-28T05:00:00+0000
Japan,1953-06-28T05:00:00+0000
Poland,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Germany,1953-06-28T05:00:00+0000
Finland,1953-06-28T05:00:00+0000
Finland,1953-06-28T05:00:00+0000
Spain,1953-06-28T05:00:00+0000
Spain,1953-06-28T05:00:00+0000
Colombia,1953-06-28T05:00:00+0000
Japan,1953-06-28T05:00:00+0000
Egypt,1953-06-28T05:00:00+0000
Japan,1953-06-29T05:00:00+0000
Costa Rica,1953-06-29T05:00:00+0000
Netherlands,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
France,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Pakistan,1953-06-29T05:00:00+0000
Pakistan,1953-06-29T05:00:00+0000
France,1953-06-29T05:00:00+0000
Pakistan,1953-06-29T05:00:00+0000
Austria,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Iran,1953-06-29T05:00:00+0000
China,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Germany,1953-06-29T05:00:00+0000
Finland,1953-06-29T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Italy,1953-06-30T05:00:00+0000
Japan,1953-06-30T05:00:00+0000
Iran,1953-06-30T05:00:00+0000
France,1953-06-30T05:00:00+0000
France,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Greece,1953-06-30T05:00:00+0000
India,1953-06-30T05:00:00+0000
Japan,1953-06-30T05:00:00+0000
France,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Pakistan,1953-06-30T05:00:00+0000
Finland,1953-06-30T05:00:00+0000
Italy,1953-06-30T05:00:00+0000
Iran,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Syria,1953-06-30T05:00:00+0000
Libya,1953-06-30T05:00:00+0000
Cyprus,1953-06-30T05:00:00+0000
Egypt,1953-06-30T05:00:00+0000
Bolivia,1953-06-30T05:00:00+0000
Turkey,1953-06-30T05:00:00+0000
Israel,1953-06-30T05:00:00+0000
Turkey,1953-06-30T05:00:00+0000
Turkey,1953-06-30T05:00:00+0000
Japan,1953-06-30T05:00:00+0000
Germany,1953-06-30T05:00:00+0000
Iran,1953-06-30T05:00:00+0000
China,1953-06-30T05:00:00+0000
India,1953-07-01T05:00:00+0000
Spain,1953-07-01T05:00:00+0000
Canada,1953-07-01T05:00:00+0000
Iceland,1953-07-01T05:00:00+0000
Japan,1953-07-01T05:00:00+0000
Japan,1953-07-01T05:00:00+0000
Japan,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Egypt,1953-07-01T05:00:00+0000
Morocco,1953-07-01T05:00:00+0000
Iran,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Canada,1953-07-01T05:00:00+0000
Greece,1953-07-01T05:00:00+0000
Kenya,1953-07-01T05:00:00+0000
Hungary,1953-07-01T05:00:00+0000
France,1953-07-01T05:00:00+0000
Australia,1953-07-01T05:00:00+0000
Cyprus,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
Germany,1953-07-01T05:00:00+0000
France,1953-07-01T05:00:00+0000
Canada,1953-07-01T05:00:00+0000
China,1953-07-01T05:00:00+0000
China,1953-07-01T05:00:00+0000
Egypt,1953-07-01T05:00:00+0000
Tunisia,1953-07-01T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Bolivia,1953-07-02T05:00:00+0000
Ecuador,1953-07-02T05:00:00+0000
Brazil,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Brazil,1953-07-02T05:00:00+0000
Italy,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
China,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Egypt,1953-07-02T05:00:00+0000
Iran,1953-07-02T05:00:00+0000
Austria,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Venezuela,1953-07-02T05:00:00+0000
Chile,1953-07-02T05:00:00+0000
Nicaragua,1953-07-02T05:00:00+0000
China,1953-07-02T05:00:00+0000
Japan,1953-07-02T05:00:00+0000
Mexico,1953-07-02T05:00:00+0000
Cuba,1953-07-02T05:00:00+0000
Germany,1953-07-02T05:00:00+0000
Italy,1953-07-02T05:00:00+0000
Italy,1953-07-02T05:00:00+0000
China,1953-07-03T05:00:00+0000
Hungary,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Brazil,1953-07-03T05:00:00+0000
France,1953-07-03T05:00:00+0000
Chile,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Italy,1953-07-03T05:00:00+0000
Australia,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Japan,1953-07-03T05:00:00+0000
Italy,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Kenya,1953-07-03T05:00:00+0000
Canada,1953-07-03T05:00:00+0000
China,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Egypt,1953-07-03T05:00:00+0000
Egypt,1953-07-03T05:00:00+0000
Hungary,1953-07-03T05:00:00+0000
Japan,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Turkey,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Finland,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
Israel,1953-07-03T05:00:00+0000
Germany,1953-07-03T05:00:00+0000
India,1953-07-03T05:00:00+0000
Brazil,1953-07-04T05:00:00+0000
Egypt,1953-07-04T05:00:00+0000
Egypt,1953-07-04T05:00:00+0000
Haiti,1953-07-04T05:00:00+0000
Germany,1953-07-04T05:00:00+0000
Germany,1953-07-04T05:00:00+0000
Poland,1953-07-04T05:00:00+0000
Egypt,1953-07-04T05:00:00+0000
Greece,1953-07-04T05:00:00+0000
Germany,1953-07-04T05:00:00+0000
Germany,1953-07-04T05:00:00+0000
Italy,1953-07-04T05:00:00+0000
New Zealand,1953-07-04T05:00:00+0000
Greece,1953-07-04T05:00:00+0000
Germany,1953-07-04T05:00:00+0000
Japan,1953-07-04T05:00:00+0000
Spain,1953-07-04T05:00:00+0000
Spain,1953-07-04T05:00:00+0000
Pakistan,1953-07-04T05:00:00+0000
Hungary,1953-07-04T05:00:00+0000
Switzerland,1953-07-04T05:00:00+0000
Italy,1953-07-04T05:00:00+0000
Pakistan,1953-07-04T05:00:00+0000
Iran,1953-07-04T05:00:00+0000
Japan,1953-07-04T05:00:00+0000
Germany,1953-07-04T05:00:00+0000
Hungary,1953-07-04T05:00:00+0000
Hungary,1953-07-04T05:00:00+0000
Pakistan,1953-07-04T05:00:00+0000
China,1953-07-05T05:00:00+0000
China,1953-07-05T05:00:00+0000
Germany,1953-07-05T05:00:00+0000
France,1953-07-05T05:00:00+0000
France,1953-07-05T05:00:00+0000
Germany,1953-07-05T05:00:00+0000
Chile,1953-07-05T05:00:00+0000
Chile,1953-07-05T05:00:00+0000
Malta,1953-07-05T05:00:00+0000
Panama,1953-07-05T05:00:00+0000
Poland,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Hungary,1953-07-05T05:00:00+0000
Japan,1953-07-05T05:00:00+0000
Italy,1953-07-05T05:00:00+0000
China,1953-07-05T05:00:00+0000
Norway,1953-07-05T05:00:00+0000
Pakistan,1953-07-05T05:00:00+0000
Pakistan,1953-07-05T05:00:00+0000
India,1953-07-05T05:00:00+0000
Canada,1953-07-05T05:00:00+0000
France,1953-07-05T05:00:00+0000
France,1953-07-05T05:00:00+0000
Chile,1953-07-05T05:00:00+0000
India,1953-07-05T05:00:00+0000
Egypt,1953-07-05T05:00:00+0000
Syria,1953-07-05T05:00:00+0000
Japan,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
France,1953-07-06T05:00:00+0000
Canada,1953-07-06T05:00:00+0000
Israel,1953-07-06T05:00:00+0000
Egypt,1953-07-06T05:00:00+0000
Hungary,1953-07-06T05:00:00+0000
Iran,1953-07-06T05:00:00+0000
Turkey,1953-07-06T05:00:00+0000
Netherlands,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Canada,1953-07-06T05:00:00+0000
Hungary,1953-07-06T05:00:00+0000
Poland,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Bulgaria,1953-07-06T05:00:00+0000
Hungary,1953-07-06T05:00:00+0000
Japan,1953-07-06T05:00:00+0000
Chile,1953-07-06T05:00:00+0000
France,1953-07-06T05:00:00+0000
Japan,1953-07-06T05:00:00+0000
India,1953-07-06T05:00:00+0000
Japan,1953-07-06T05:00:00+0000
Austria,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Germany,1953-07-06T05:00:00+0000
Hungary,1953-07-06T05:00:00+0000
India,1953-07-06T05:00:00+0000
Austria,1953-07-07T05:00:00+0000
Egypt,1953-07-07T05:00:00+0000
Egypt,1953-07-07T05:00:00+0000
Japan,1953-07-07T05:00:00+0000
Chile,1953-07-07T05:00:00+0000
Chile,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Hungary,1953-07-07T05:00:00+0000
Hungary,1953-07-07T05:00:00+0000
Finland,1953-07-07T05:00:00+0000
Australia,1953-07-07T05:00:00+0000
Brazil,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Egypt,1953-07-07T05:00:00+0000
Bolivia,1953-07-07T05:00:00+0000
Italy,1953-07-07T05:00:00+0000
Egypt,1953-07-07T05:00:00+0000
Brazil,1953-07-07T05:00:00+0000
France,1953-07-07T05:00:00+0000
France,1953-07-07T05:00:00+0000
India,1953-07-07T05:00:00+0000
India,1953-07-07T05:00:00+0000
Iran,1953-07-07T05:00:00+0000
Peru,1953-07-07T05:00:00+0000
Spain,1953-07-07T05:00:00+0000
Spain,1953-07-07T05:00:00+0000
China,1953-07-07T05:00:00+0000
Japan,1953-07-07T05:00:00+0000
India,1953-07-07T05:00:00+0000
Turkey,1953-07-07T05:00:00+0000
Hungary,1953-07-07T05:00:00+0000
Hungary,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Norway,1953-07-07T05:00:00+0000
Japan,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
Germany,1953-07-07T05:00:00+0000
France,1953-07-07T05:00:00+0000
Netherlands,1953-07-07T05:00:00+0000
Germany,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Iran,1953-07-08T05:00:00+0000
China,1953-07-08T05:00:00+0000
Brazil,1953-07-08T05:00:00+0000
Denmark,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Greece,1953-07-08T05:00:00+0000
Pakistan,1953-07-08T05:00:00+0000
Hungary,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
France,1953-07-08T05:00:00+0000
France,1953-07-08T05:00:00+0000
France,1953-07-08T05:00:00+0000
Hungary,1953-07-08T05:00:00+0000
Hungary,1953-07-08T05:00:00+0000
India,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Ethiopia,1953-07-08T05:00:00+0000
Ecuador,1953-07-08T05:00:00+0000
Germany,1953-07-08T05:00:00+0000
Tunisia,1953-07-08T05:00:00+0000
Colombia,1953-07-08T05:00:00+0000
Italy,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Japan,1953-07-08T05:00:00+0000
Mexico,1953-07-08T05:00:00+0000
Canada,1953-07-09T05:00:00+0000
Egypt,1953-07-09T05:00:00+0000
India,1953-07-09T05:00:00+0000
Pakistan,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Iran,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Australia,1953-07-09T05:00:00+0000
Bulgaria,1953-07-09T05:00:00+0000
Kuwait,1953-07-09T05:00:00+0000
Canada,1953-07-09T05:00:00+0000
Australia,1953-07-09T05:00:00+0000
France,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Egypt,1953-07-09T05:00:00+0000
Hungary,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Hong Kong,1953-07-09T05:00:00+0000
Hungary,1953-07-09T05:00:00+0000
Finland,1953-07-09T05:00:00+0000
Dominican Republic,1953-07-09T05:00:00+0000
Chile,1953-07-09T05:00:00+0000
Germany,1953-07-09T05:00:00+0000
Iran,1953-07-09T05:00:00+0000
Iran,1953-07-09T05:00:00+0000
Spain,1953-07-09T05:00:00+0000
Finland,1953-07-10T05:00:00+0000
Brazil,1953-07-10T05:00:00+0000
China,1953-07-10T05:00:00+0000
France,1953-07-10T05:00:00+0000
Israel,1953-07-10T05:00:00+0000
Egypt,1953-07-10T05:00:00+0000
Germany,1953-07-10T05:00:00+0000
France,1953-07-10T05:00:00+0000
France,1953-07-10T05:00:00+0000
Netherlands,1953-07-10T05:00:00+0000
Iran,1953-07-10T05:00:00+0000
Canada,1953-07-10T05:00:00+0000
Germany,1953-07-10T05:00:00+0000
Germany,1953-07-10T05:00:00+0000
Hungary,1953-07-10T05:00:00+0000
Hungary,1953-07-10T05:00:00+0000
Iran,1953-07-10T05:00:00+0000
Italy,1953-07-10T05:00:00+0000
Germany,1953-07-10T05:00:00+0000
Chile,1953-07-10T05:00:00+0000
Syria,1953-07-10T05:00:00+0000
Libya,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
Italy,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
Greece,1953-07-11T05:00:00+0000
Syria,1953-07-11T05:00:00+0000
Poland,1953-07-11T05:00:00+0000
Japan,1953-07-11T05:00:00+0000
Iran,1953-07-11T05:00:00+0000
China,1953-07-11T05:00:00+0000
Norway,1953-07-11T05:00:00+0000
Canada,1953-07-11T05:00:00+0000
France,1953-07-11T05:00:00+0000
France,1953-07-11T05:00:00+0000
Chile,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
Germany,1953-07-11T05:00:00+0000
France,1953-07-11T05:00:00+0000
Greece,1953-07-12T05:00:00+0000
India,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Puerto Rico,1953-07-12T05:00:00+0000
Iran,1953-07-12T05:00:00+0000
Libya,1953-07-12T05:00:00+0000
Chile,1953-07-12T05:00:00+0000
Iran,1953-07-12T05:00:00+0000
Iran,1953-07-12T05:00:00+0000
Iran,1953-07-12T05:00:00+0000
France,1953-07-12T05:00:00+0000
Chile,1953-07-12T05:00:00+0000
China,1953-07-12T05:00:00+0000
Japan,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Canada,1953-07-12T05:00:00+0000
Chile,1953-07-12T05:00:00+0000
Canada,1953-07-12T05:00:00+0000
France,1953-07-12T05:00:00+0000
France,1953-07-12T05:00:00+0000
Canada,1953-07-12T05:00:00+0000
Mexico,1953-07-12T05:00:00+0000
Syria,1953-07-12T05:00:00+0000
Lebanon,1953-07-12T05:00:00+0000
India,1953-07-12T05:00:00+0000
Japan,1953-07-12T05:00:00+0000
Japan,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
Germany,1953-07-12T05:00:00+0000
China,1953-07-13T05:00:00+0000
Canada,1953-07-13T05:00:00+0000
China,1953-07-13T05:00:00+0000
